Année;UAI;Libellé;Région;Niveau formation;Taux poursuite études;Taux emploi 6 mois;Taux interruption formation;Part contrats apprentissage interrompus;Taux emploi 12 mois;Taux emploi 18 mois;Taux emploi 24 mois;num_ligne
cumul 2023-2024;0694480V;GRETA-CFA Hôtellerie-Restauration-Alimentation;AUVERGNE-RHONE-ALPES;BTS;23.0;72.0;52.0;55.0;;;;30384.0
cumul 2023-2024;0694480V;GRETA-CFA Hôtellerie-Restauration-Alimentation;AUVERGNE-RHONE-ALPES;CAP;38.0;66.0;42.0;44.0;;;;30385.0
cumul 2023-2024;0694501T;Organisme de formation-Centre de formation d'apprentis NEPSOD EVOLUTION TARARE;AUVERGNE-RHONE-ALPES;Autres formations de niveau 3;;;;;;;;30393.0
cumul 2023-2024;0694553Z;Organisme de formation-Centre de formation d'apprentis ABSUP LYON Lafayette;AUVERGNE-RHONE-ALPES;Autres formations de niveau 5;26.0;;;40.0;;;;30406.0
cumul 2023-2024;0700796K;CFA de la Haute-Saône;BOURGOGNE-FRANCHE-COMTE;BTS;;;;;;;;30427.0
cumul 2023-2024;0700954G;Maison Familiale Rurale de Combeaufon;BOURGOGNE-FRANCHE-COMTE;BAC;55.0;;;31.0;;;;30430.0
cumul 2023-2024;0711078L;CIFA JEAN LAMELOISE;BOURGOGNE-FRANCHE-COMTE;Autres formations de niveau 5;;;;;;;;30451.0
cumul 2023-2024;0711078L;CIFA JEAN LAMELOISE;BOURGOGNE-FRANCHE-COMTE;CAP;53.0;62.0;38.0;20.0;;;;30455.0
cumul 2023-2024;0711096F;Bâtiment CFA Bourgogne Franche-Comté Site Autun;BOURGOGNE-FRANCHE-COMTE;Autres formations de niveau 4;;;;;;;;30457.0
cumul 2023-2024;0711096F;Bâtiment CFA Bourgogne Franche-Comté Site Autun;BOURGOGNE-FRANCHE-COMTE;BP;19.0;79.0;48.0;34.0;;;;30458.0
cumul 2023-2024;0711103N;CFA de Saône et Loire;BOURGOGNE-FRANCHE-COMTE;BAC;42.0;63.0;;36.0;;;;30464.0
cumul 2023-2024;0711452T;Maison Familiale Rurale de La Clayette;BOURGOGNE-FRANCHE-COMTE;Autres formations de niveau 4;;;;;;;;30474.0
cumul 2023-2024;0711859K;CFA du Sacré Coeur;BOURGOGNE-FRANCHE-COMTE;MC4;;;;;;;;30487.0
cumul 2023-2024;0711940Y;CEFAA CHAGNY;BOURGOGNE-FRANCHE-COMTE;MC4;;;;;;;;30494.0
cumul 2023-2024;0720930V;Organisme de formation-Centre de formation d'apprentis de la Chambre de commerce et d'industrie Le Mans Sarthe;PAYS DE LA LOIRE;Autres formations de niveau 4;;;;38.0;;;;30509.0
cumul 2023-2024;0720930V;Organisme de formation-Centre de formation d'apprentis de la Chambre de commerce et d'industrie Le Mans Sarthe;PAYS DE LA LOIRE;BAC;36.0;70.0;;39.0;;;;30511.0
cumul 2023-2024;0721366U;Maison Familiale Rurale Les Forges - La Ferté-Bernard;PAYS DE LA LOIRE;CAP;;;;;;;;30523.0
cumul 2023-2024;0721381K;Maison Familiale Rurale de Bernay-en-Champagne;PAYS DE LA LOIRE;CAP;;;;;;;;30527.0
cumul 2023-2024;0721422E;Greta-CFA du Maine;PAYS DE LA LOIRE;BTS;38.0;80.0;25.0;24.0;;;;30533.0
cumul 2023-2024;0721429M;Organisme de formation-Centre de formation d'apprentis de l'Institut technologique européen des métiers de la musique - Le Mans;PAYS DE LA LOIRE;Autres formations de niveau 5;;;;30.0;;;;30541.0
cumul 2023-2024;0721429M;Organisme de formation-Centre de formation d'apprentis de l'Institut technologique européen des métiers de la musique - Le Mans;PAYS DE LA LOIRE;CAP;59.0;53.0;8.0;29.0;;;;30542.0
cumul 2023-2024;0721476N;CFA de la Sarthe;PAYS DE LA LOIRE;BAC;48.0;67.0;;39.0;;;;30544.0
cumul 2023-2024;0721522N;ECOFAC LE MANS ECOFAC EVOLUTION;PAYS DE LA LOIRE;Autres formations de niveau 5;17.0;52.0;;33.0;;;;30550.0
cumul 2023-2024;0721554Y;Organisme de formation-Centre de formation d'apprentis de l'Enseignement Catholique 72 - Le Mans;PAYS DE LA LOIRE;BAC;;;;27.0;;;;30555.0
cumul 2023-2024;0721554Y;Organisme de formation-Centre de formation d'apprentis de l'Enseignement Catholique 72 - Le Mans;PAYS DE LA LOIRE;BP;;;;;;;;30556.0
cumul 2023-2024;0721676F;Centre de formation via formation;PAYS DE LA LOIRE;Autres formations de niveau 3;;;;;;;;30561.0
cumul 2023-2024;0721718B;Organisme de formation-Centre de formation d'apprentis de Promotrans formation professionnelle continue - La Chapelle-Saint-Aubin;PAYS DE LA LOIRE;CAP;;;;;;;;30571.0
cumul 2023-2024;0730805D;Ecole supérieure privée ECORIS CHAMBERY;AUVERGNE-RHONE-ALPES;BTS;55.0;58.0;35.0;45.0;;;;30574.0
cumul 2023-2024;0730878H;Organisme de formation-Centre de formation d'apprentis de BTP des Savoies-Saint-Alban-Leysse;AUVERGNE-RHONE-ALPES;Autres formations de niveau 3;;;;32.0;;;;30575.0
cumul 2023-2024;0731252P;Organisme de formation-Centre de formation d'apprentis de la MFR Le Fontanil-SAINT-ALBAN-LEYSSE;AUVERGNE-RHONE-ALPES;MC3;51.0;77.0;16.0;24.0;;;;30581.0
cumul 2023-2024;0731302U;Greta Savoie;AUVERGNE-RHONE-ALPES;BTS;42.0;78.0;28.0;20.0;;;;30583.0
cumul 2023-2024;0731341L;Organisme de formation-Centre de formation d'apprentis de Coiffure et Vente-Chambéry;AUVERGNE-RHONE-ALPES;CAP;61.0;54.0;25.0;44.0;;;;30588.0
cumul 2023-2024;0731364L;CFPPA de La Motte Servolex;AUVERGNE-RHONE-ALPES;BP;;;;;;;;30589.0
cumul 2023-2024;0731506R;Organisme de formation-Centre de formation d'apprentis de TECHNOPOLYS-La Motte-Servolex;AUVERGNE-RHONE-ALPES;BTS;28.0;79.0;25.0;21.0;;;;30600.0
cumul 2023-2024;0731535X;Organisme de formation - centre de formation d'apprentis de ECORIS EXECUTIVE CHAMBERY;AUVERGNE-RHONE-ALPES;Autres formations de niveau 4;;;;;;;;30602.0
cumul 2023-2024;0731573N;Organisme de formation-Centre de formation d'apprentis d'AFTRAL-La Motte Servolex;AUVERGNE-RHONE-ALPES;Autres formations de niveau 5;;;;29.0;;;;30605.0
cumul 2023-2024;0731573N;Organisme de formation-Centre de formation d'apprentis d'AFTRAL-La Motte Servolex;AUVERGNE-RHONE-ALPES;CAP;4.0;85.0;6.0;10.0;;;;30607.0
cumul 2023-2024;0731584A;Organisme de formation-Centre de formation d apprentis de Panthera formation Chambéry;AUVERGNE-RHONE-ALPES;Autres formations de niveau 4;;;;;;;;30610.0
cumul 2023-2024;0731589F;Organisme de formation d'apprentis de Palafis-Chambéry;AUVERGNE-RHONE-ALPES;Autres formations de niveau 5;;;;;;;;30616.0
cumul 2023-2024;0740293S;Organisme de formation-Centre de formation d apprentis de MFR LES  CHEMINS - MARGENCEL;AUVERGNE-RHONE-ALPES;CAP;57.0;;24.0;29.0;;;;30622.0
cumul 2023-2024;0740296V;Organisme de formation - Centre de formation d'apprentis du Clos des Baz-Sallanches;AUVERGNE-RHONE-ALPES;BP;;;;29.0;;;;30625.0
cumul 2023-2024;0740298X;Organisme de formation-Centre de formation d'apprentis des métiers de l'automobile-Thonon-Les-Bains;AUVERGNE-RHONE-ALPES;Autres formations de niveau 3;;;;;;;;30627.0
cumul 2023-2024;0741120R;Organisme de formation-Centre de formation d'apprentis de la MFR LES EBEAUX - CRUSEILLES;AUVERGNE-RHONE-ALPES;BAC;53.0;75.0;;49.0;;;;30632.0
cumul 2023-2024;0741322K;Greta Savoie / Haute-Savoie;AUVERGNE-RHONE-ALPES;CAP;;;;;;;;30651.0
cumul 2023-2024;0741323L;Greta Arve Faucigny;AUVERGNE-RHONE-ALPES;BAC;;;;;;;;30653.0
cumul 2023-2024;0741328S;Organisme de formation-Centre de formation d'apprentis de la MFR - VULBENS;AUVERGNE-RHONE-ALPES;BAC;43.0;;;51.0;;;;30658.0
cumul 2023-2024;0741437K;Maison Familiale Rurale Le Villaret - Thônes;AUVERGNE-RHONE-ALPES;BAC;;;;;;;;30663.0
cumul 2023-2024;0741451A;Organisme de formation-Centre de formation d'apprentis de la MFR - ANNECY;AUVERGNE-RHONE-ALPES;Autres formations de niveau 5;;;;;;;;30667.0
cumul 2023-2024;0741451A;Organisme de formation-Centre de formation d'apprentis de la MFR - ANNECY;AUVERGNE-RHONE-ALPES;BTS;42.0;;12.0;35.0;;;;30668.0
cumul 2023-2024;0741525F;Organisme de formation-Centre de formation d'apprentis -  IMAA LES DRONIERES - CRUSEILLES;AUVERGNE-RHONE-ALPES;BAC;62.0;71.0;;14.0;;;;30672.0
cumul 2023-2024;0741525F;Organisme de formation-Centre de formation d'apprentis -  IMAA LES DRONIERES - CRUSEILLES;AUVERGNE-RHONE-ALPES;MC4;23.0;72.0;19.0;6.0;;;;30674.0
cumul 2023-2024;0741630V;Organisme de formation - OF-CFA  Maison Familiale Rurale de Cranves-Sales;AUVERGNE-RHONE-ALPES;BP;;;;37.0;;;;30681.0
cumul 2023-2024;0741677W;Organisme de formation-Centre de formation d'apprentis de l'industrie FORMAVENIR-Thyez;AUVERGNE-RHONE-ALPES;BTS;27.0;69.0;31.0;27.0;;;;30685.0
cumul 2023-2024;0741744U;Organisme de formation-Centre de formation dapprentis de Nom de CCI FORMATION ANNECY;AUVERGNE-RHONE-ALPES;BTS;47.0;73.0;36.0;40.0;;;;30689.0
cumul 2023-2024;0741775C;centre d'élevage de poisy;AUVERGNE-RHONE-ALPES;CAP;78.0;;9.0;39.0;;;;30694.0
cumul 2023-2024;0750765Z;Of-Cfa ADABJOP - Bijouterie-Joaillerie de Paris;ILE-DE-FRANCE;Autres formations de niveau 4;24.0;;;31.0;;;;30702.0
cumul 2023-2024;0750768C;CEPROC - Centre d'excellence des professions culinaires;ILE-DE-FRANCE;BP;13.0;78.0;7.0;22.0;;;;30706.0
cumul 2023-2024;0751503B;Centre de Formation d'apprentis - Ecole Professionnelle de Boucherie;ILE-DE-FRANCE;CAP;40.0;63.0;27.0;37.0;;;;30720.0
cumul 2023-2024;0751510J;Centre de Formation d'apprentis - Alimentation et Hôtellerie;ILE-DE-FRANCE;MC3;14.0;63.0;18.0;25.0;;;;30727.0
cumul 2023-2024;0751698N;LA COMPAGNIE DE FORMATION PIGIER;ILE-DE-FRANCE;Autres formations de niveau 4;29.0;;;42.0;;;;30729.0
cumul 2023-2024;0752068R;Centre de Formation d'apprentis - Commerce de l'alimentation;ILE-DE-FRANCE;BTS;47.0;55.0;66.0;56.0;;;;30733.0
cumul 2023-2024;0752206R;Of-Cfa Stephenson Formation;ILE-DE-FRANCE;BTS;49.0;57.0;43.0;39.0;;;;30739.0
cumul 2023-2024;0752830U;Centre de Formation d'apprentis - Métiers de la table;ILE-DE-FRANCE;BP;10.0;67.0;64.0;62.0;;;;30747.0
cumul 2023-2024;0752830U;Centre de Formation d'apprentis - Métiers de la table;ILE-DE-FRANCE;CAP;44.0;59.0;38.0;39.0;;;;30749.0
cumul 2023-2024;0753007L;Centre de Formation d'apprentis - Alimentation-Hôtellerie;ILE-DE-FRANCE;BAC;14.0;;;52.0;;;;30756.0
cumul 2023-2024;0754022P;Institut commercial supérieur Bégué Paris;ILE-DE-FRANCE;BTS;;;;;;;;30766.0
cumul 2023-2024;0754292H;Institut Supérieur d'Optique de Paris;ILE-DE-FRANCE;Autres formations de niveau 4;66.0;65.0;;28.0;;;;30767.0
cumul 2023-2024;0754302U;ESUP GROUP;ILE-DE-FRANCE;BTS;;;;54.0;;;;30769.0
cumul 2023-2024;0754458N;Centre de Formation d'apprentis Cerfal - Gestion Bureautique;ILE-DE-FRANCE;BAC;46.0;57.0;;49.0;;;;30773.0
cumul 2023-2024;0754718W;Centre de Formation d'apprentis des Métiers du Sport et de l'Animation;ILE-DE-FRANCE;Autres formations de niveau 4;32.0;69.0;;27.0;;;;30787.0
cumul 2023-2024;0754718W;Centre de Formation d'apprentis des Métiers du Sport et de l'Animation;ILE-DE-FRANCE;Autres formations de niveau 5;35.0;69.0;;22.0;;;;30788.0
cumul 2023-2024;0754755L;Centre de Formation d'apprentis - Boulangerie et Patisserie;ILE-DE-FRANCE;BP;;;;43.0;;;;30793.0
cumul 2023-2024;0754855V;CFA de la Chambre de Commerce et d'Industrie de Région Paris Ile-de-France;ILE-DE-FRANCE;BAC;53.0;69.0;;43.0;;;;30813.0
cumul 2023-2024;0754855V;CFA de la Chambre de Commerce et d'Industrie de Région Paris Ile-de-France;ILE-DE-FRANCE;BP;12.0;64.0;24.0;41.0;;;;30814.0
cumul 2023-2024;0754927Y;Centre de Formation d'apprentis - Formasup Paris Ile-de-France;ILE-DE-FRANCE;Autres formations de niveau 5;65.0;;;24.0;;;;30822.0
cumul 2023-2024;0755290T;Sup Tertiaire;ILE-DE-FRANCE;BTS;45.0;59.0;58.0;56.0;;;;30833.0
cumul 2023-2024;0755432X;Centre de Formation d'apprentis - INSTA;ILE-DE-FRANCE;BTS;62.0;54.0;50.0;29.0;;;;30834.0
cumul 2023-2024;0755544U;Of-Cfa Silvya Terrade Vaugirard;ILE-DE-FRANCE;BP;40.0;38.0;;60.0;;;;30837.0
cumul 2023-2024;0755545V;Centre Privé H3 Campus Paris;ILE-DE-FRANCE;BTS;61.0;60.0;33.0;41.0;;;;30840.0
cumul 2023-2024;0755573A;Centre de Formation continue - Private french university;ILE-DE-FRANCE;BTS;;;;51.0;;;;30842.0
cumul 2023-2024;0755624F;Alternance Academy;ILE-DE-FRANCE;Autres formations de niveau 4;4.0;57.0;;48.0;;;;30844.0
cumul 2023-2024;0755662X;Omega Finance;ILE-DE-FRANCE;BTS;45.0;52.0;63.0;52.0;;;;30846.0
cumul 2023-2024;0755701P;Etablissement privé d'enseignement technique AURLOM BTS+;ILE-DE-FRANCE;BTS;34.0;44.0;81.0;53.0;;;;30847.0
cumul 2023-2024;0755978R;First Avenir;ILE-DE-FRANCE;BTS;28.0;52.0;;59.0;;;;30870.0
cumul 2023-2024;0755986Z;Of-Cfa Groupe IGF;ILE-DE-FRANCE;BTS;45.0;58.0;63.0;51.0;;;;30872.0
cumul 2023-2024;0755989C;Fédération Française de Tennis - L'Institut de Formation du Tennis;ILE-DE-FRANCE;Autres formations de niveau 4;52.0;;;2.0;;;;30873.0
cumul 2023-2024;0755989C;Fédération Française de Tennis - L'Institut de Formation du Tennis;ILE-DE-FRANCE;Autres formations de niveau 5;43.0;80.0;;6.0;;;;30874.0
cumul 2023-2024;0755997L;OF-CFA ATK Conseils;ILE-DE-FRANCE;Autres formations de niveau 3;0.0;70.0;;29.0;;;;30875.0
cumul 2023-2024;0755999N;OF-CFA ESGCV;ILE-DE-FRANCE;BTS;51.0;57.0;53.0;51.0;;;;30878.0
cumul 2023-2024;0756000P;Webitech Paris - Nextgroup;ILE-DE-FRANCE;BTS;;;;37.0;;;;30879.0
cumul 2023-2024;0756001R;Of-Cfa Miromesnil;ILE-DE-FRANCE;BTS;62.0;;34.0;36.0;;;;30880.0
cumul 2023-2024;0756017H;OF-CFA GROUPE IGS - CIEFA;ILE-DE-FRANCE;BTS;52.0;54.0;48.0;44.0;;;;30896.0
cumul 2023-2024;0756019K;OF-CFA Fondation des Apprentis d'Auteuil;ILE-DE-FRANCE;BAC;23.0;51.0;;51.0;;;;30900.0
cumul 2023-2024;0756019K;OF-CFA Fondation des Apprentis d'Auteuil;ILE-DE-FRANCE;BP;21.0;59.0;;36.0;;;;30901.0
cumul 2023-2024;0756019K;OF-CFA Fondation des Apprentis d'Auteuil;ILE-DE-FRANCE;MC3;33.0;58.0;29.0;25.0;;;;30904.0
cumul 2023-2024;0756029W;OF-CFA Agence Nationale pour la Formation vers l'Emploi;ILE-DE-FRANCE;BTS;29.0;34.0;;68.0;;;;30911.0
cumul 2023-2024;0756041J;OF-CFA 3W Academy;ILE-DE-FRANCE;Autres formations de niveau 5;33.0;44.0;;23.0;;;;30914.0
cumul 2023-2024;0756042K;OF-CFA Anim-Com Consultant;ILE-DE-FRANCE;Autres formations de niveau 4;9.0;55.0;;22.0;;;;30916.0
cumul 2023-2024;0756042K;OF-CFA Anim-Com Consultant;ILE-DE-FRANCE;Autres formations de niveau 5;;;;;;;;30917.0
cumul 2023-2024;0756066L;OF-CFA ESAGE, l'Ecole des Assistants;ILE-DE-FRANCE;BTS;53.0;60.0;50.0;43.0;;;;30925.0
cumul 2023-2024;0756069P;OF-CFA Institut Nemo;ILE-DE-FRANCE;Autres formations de niveau 3;3.0;71.0;;27.0;;;;30926.0
cumul 2023-2024;0756072T;Orange Formation;ILE-DE-FRANCE;Autres formations de niveau 5;20.0;;;16.0;;;;30931.0
cumul 2023-2024;0756089L;OF-CFA Groupement d'intérêt public#France 2023;ILE-DE-FRANCE;BTS;;;;16.0;;;;30943.0
cumul 2023-2024;0756090M;OF-CFA Institut des éducateurs;ILE-DE-FRANCE;CAP;8.0;75.0;35.0;34.0;;;;30945.0
cumul 2023-2024;0756091N;Organisme de formation-Centre de formation d'apprentis Vincent de Paul Réseaux et formations;ILE-DE-FRANCE;Autres formations de niveau 4;20.0;79.0;;15.0;;;;30947.0
