persona,organisation_nom,organisation_nom_legal,siren,siret,annee_creation,date_creation_source_url,adresse_ville,adresse_departement,adresse_region,site_web_url,linkedin_entreprise_url,type_structure,modalite_presume,preuve_modalite,contact_nom,contact_role,contact_linkedin_url,contact_email_public,contact_tel_public,source_contact_preuve,notes_qualite,score_fit,raisons_score,difficulte_type,difficulte_date,difficulte_source_url,risque_trop_tard
B,3PE FORMATION,3PE FORMATION,913775623,91377562300014,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/913775623,CHATEAUROUX,36,Centre-Val de Loire,https://annuaire-entreprises.data.gouv.fr/entreprise/913775623,,inconnu,inconnu,,Jamal Hamdioui,Directeur Général,,,,API recherche-entreprises.api.gouv.fr (SIREN 913775623),,50,Création 2022 (élargissement) | Hors IDF (36) | Dirigeant identifié: Directeur Général,liquidation judiciaire (entreprise fermée),2024-05-22,https://annuaire-entreprises.data.gouv.fr/entreprise/913775623,élevé - entreprise fermée administrativement
B,YNSPIRE FORMATION,YNSPIRE FORMATION,913626719,91362671900011,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/913626719,CHAMBOEUF,42,Auvergne-Rhône-Alpes,https://annuaire-entreprises.data.gouv.fr/entreprise/913626719,,inconnu,inconnu,,Yoann Leblanc,Autre,,,,API recherche-entreprises.api.gouv.fr (SIREN 913626719),,50,Création 2022 (élargissement) | Hors IDF (42) | Dirigeant identifié: Autre,liquidation judiciaire (entreprise fermée),2023-07-17,https://annuaire-entreprises.data.gouv.fr/entreprise/913626719,élevé - entreprise fermée administrativement
B,MAEL CADIOU (AIDE44),,917877391,91787739100016,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/917877391,GRANDCHAMP-DES-FONTAINES,44,Pays de la Loire,https://annuaire-entreprises.data.gouv.fr/entreprise/917877391,,inconnu,inconnu,,Mael Cadiou,,,,,API recherche-entreprises.api.gouv.fr (SIREN 917877391),,50,Création 2022 (élargissement) | Hors IDF (44) | Dirigeant identifié: None,liquidation judiciaire (entreprise fermée),2024-07-09,https://annuaire-entreprises.data.gouv.fr/entreprise/917877391,élevé - entreprise fermée administrativement
B,CENTRE DE FORMATION LAPLACE,CENTRE DE FORMATION LAPLACE,912448412,91244841200011,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/912448412,LAIZ,01,Auvergne-Rhône-Alpes,https://annuaire-entreprises.data.gouv.fr/entreprise/912448412,,inconnu,presentiel,,Franck Laplace,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 912448412),,50,Création 2022 (élargissement) | Hors IDF (01) | Dirigeant identifié: Président de SAS,liquidation judiciaire (entreprise fermée),2025-06-20,https://annuaire-entreprises.data.gouv.fr/entreprise/912448412,élevé - entreprise fermée administrativement
B,FORMATION SECURITE PROFESSIONNELLE (F.S.P.),FORMATION SECURITE PROFESSIONNELLE,911420586,91142058600016,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/911420586,FOUILLOY,80,Hauts-de-France,https://annuaire-entreprises.data.gouv.fr/entreprise/911420586,,inconnu,inconnu,,Arnaud Ovono ondo,Directeur Général,,,,API recherche-entreprises.api.gouv.fr (SIREN 911420586),,50,Création 2022 (élargissement) | Hors IDF (80) | Dirigeant identifié: Directeur Général,liquidation judiciaire (entreprise fermée),2025-11-26,https://annuaire-entreprises.data.gouv.fr/entreprise/911420586,élevé - entreprise fermée administrativement
B,ECOLE FRANCE FORMATION,ECOLE FRANCE FORMATION,911247674,91124767400011,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/911247674,TOULOUSE,31,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/911247674,,inconnu,inconnu,,Markenson Bonhomme,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 911247674),,50,Création 2022 (élargissement) | Hors IDF (31) | Dirigeant identifié: Président de SAS,liquidation judiciaire (entreprise fermée),2024-06-25,https://annuaire-entreprises.data.gouv.fr/entreprise/911247674,élevé - entreprise fermée administrativement
B,L'ECOLE FRANCAISE DE FORMATION EFF,L'ECOLE FRANCAISE DE FORMATION EFF,920129400,92012940000015,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/920129400,AIX-EN-PROVENCE,13,Provence-Alpes-Côte d'Azur,https://annuaire-entreprises.data.gouv.fr/entreprise/920129400,,inconnu,inconnu,,Natanael Ceylon,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 920129400),,50,Création 2022 (élargissement) | Hors IDF (13) | Dirigeant identifié: Président de SAS,liquidation judiciaire (entreprise fermée),2025-08-15,https://annuaire-entreprises.data.gouv.fr/entreprise/920129400,élevé - entreprise fermée administrativement
B,ECOLE DES FORMATIONS POSITIVES FRANCE,ECOLE DES FORMATIONS POSITIVES FRANCE,910833045,91083304500016,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/910833045,VALBONNE,06,Provence-Alpes-Côte d'Azur,https://annuaire-entreprises.data.gouv.fr/entreprise/910833045,,inconnu,inconnu,,Charlotte Uvira (scarcerieau),Liquidateur,,,,API recherche-entreprises.api.gouv.fr (SIREN 910833045),,50,Création 2022 (élargissement) | Hors IDF (06) | Dirigeant identifié: Liquidateur,liquidation judiciaire (entreprise fermée),2024-06-30,https://annuaire-entreprises.data.gouv.fr/entreprise/910833045,élevé - entreprise fermée administrativement
B,JB FORMATION BESANCON,JB FORMATION BESANCON,890497282,89049728200024,2020,https://annuaire-entreprises.data.gouv.fr/entreprise/890497282,SAINT-VIT,25,Bourgogne-Franche-Comté,https://annuaire-entreprises.data.gouv.fr/entreprise/890497282,,OF,inconnu,,,,,,,,"Création 2020 (hors critère strict 2023+, inclus car en difficulté)",50,Organisme de formation confirmé | Hors IDF (25) | Fiche annuaire-entreprises disponible,liquidation judiciaire (entreprise fermée),2025-11-30,https://annuaire-entreprises.data.gouv.fr/entreprise/890497282,élevé - entreprise fermée administrativement
B,FORMATION BUSINESS INSTITUT (F.B.I),FORMATION BUSINESS INSTITUT,910094523,91009452300024,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/910094523,TOULOUSE,31,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/910094523,,inconnu,inconnu,,Youssef Alyat,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 910094523),,50,Création 2022 (élargissement) | Hors IDF (31) | Dirigeant identifié: Président de SAS,liquidation judiciaire (entreprise fermée),2025-10-13,https://annuaire-entreprises.data.gouv.fr/entreprise/910094523,élevé - entreprise fermée administrativement
