persona,organisation_nom,organisation_nom_legal,siren,siret,annee_creation,date_creation_source_url,adresse_ville,adresse_departement,adresse_region,site_web_url,linkedin_entreprise_url,type_structure,modalite_presume,preuve_modalite,contact_nom,contact_role,contact_linkedin_url,contact_email_public,contact_tel_public,source_contact_preuve,notes_qualite,score_fit,raisons_score
A,EVENT-FORMATIONS,EVENT-FORMATIONS,948725130,94872513000017,2023,https://annuaire-entreprises.data.gouv.fr/entreprise/948725130,ROCBARON,83,Provence-Alpes-Côte d'Azur,https://annuaire-entreprises.data.gouv.fr/entreprise/948725130,,OF,inconnu,,Patrice Burle,Gérant,,,,API recherche-entreprises.api.gouv.fr (SIREN 948725130),Spécialité DGEFP: Formations générales | 129 stagiaires déclarés,85,Organisme de formation confirmé | Création 2023 (critère principal) | Hors IDF (83) | Confirmé base DGEFP
A,LADBN FORMATION (LADBN FORMATION),LADBN FORMATION,988372926,98837292600010,2025,https://annuaire-entreprises.data.gouv.fr/entreprise/988372926,THIEFOSSE,88,Grand Est,https://annuaire-entreprises.data.gouv.fr/entreprise/988372926,,OF,inconnu,,Mélissa Serfague (serfague),Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 988372926),"Spécialité DGEFP: Coiffure, esthétique et autres spécialités des services aux  | 0 stagiaires déclarés",85,Organisme de formation confirmé | Création 2025 (critère principal) | Hors IDF (88) | Confirmé base DGEFP
A,EFH FORMATION (EFH),EFH FORMATION,989277264,98927726400010,2025,https://annuaire-entreprises.data.gouv.fr/entreprise/989277264,L'ETANG-SALE,974,La Réunion,https://annuaire-entreprises.data.gouv.fr/entreprise/989277264,,CFA,inconnu,,Fabien Heno,Gérant,,,,API recherche-entreprises.api.gouv.fr (SIREN 989277264),"Spécialité DGEFP: Secrétariat, bureautique | 0 stagiaires déclarés",85,Organisme de formation confirmé | Création 2025 (critère principal) | Hors IDF (974) | Confirmé base DGEFP
A,FORMATION MISSJNAILS06 (FORMATION MISSJNAILS06),FORMATION MISSJNAILS06,934395146,93439514600012,2024,https://annuaire-entreprises.data.gouv.fr/entreprise/934395146,NICE,06,Provence-Alpes-Côte d'Azur,https://annuaire-entreprises.data.gouv.fr/entreprise/934395146,,OF,inconnu,,Johana Maillet (maillet),Gérant,,,,API recherche-entreprises.api.gouv.fr (SIREN 934395146),"Spécialité DGEFP: Coiffure, esthétique et autres spécialités des services aux  | 0 stagiaires déclarés",85,Organisme de formation confirmé | Création 2024 (critère principal) | Hors IDF (06) | Confirmé base DGEFP
A,FORMATION PRECISION,FORMATION PRECISION,938912623,93891262300015,2025,https://annuaire-entreprises.data.gouv.fr/entreprise/938912623,LILLE,59,Hauts-de-France,https://annuaire-entreprises.data.gouv.fr/entreprise/938912623,,OF,inconnu,,Safia Bensaad (bensaad),Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 938912623),"Spécialité DGEFP: Coiffure, esthétique et autres spécialités des services aux  | 0 stagiaires déclarés",85,Organisme de formation confirmé | Création 2025 (critère principal) | Hors IDF (59) | Confirmé base DGEFP
A,ACADEMIE BEAUTE FORMATIONS,ACADEMIE BEAUTE FORMATIONS,951226539,95122653900017,2023,https://annuaire-entreprises.data.gouv.fr/entreprise/951226539,GRENOBLE,38,Auvergne-Rhône-Alpes,https://annuaire-entreprises.data.gouv.fr/entreprise/951226539,,OF,inconnu,,Axel Lo monaco,Gérant,,,,API recherche-entreprises.api.gouv.fr (SIREN 951226539),"Spécialité DGEFP: Coiffure, esthétique et autres spécialités des services aux  | 14 stagiaires déclarés",85,Organisme de formation confirmé | Création 2023 (critère principal) | Hors IDF (38) | Confirmé base DGEFP
A,MV MEIGNAN FORMATIONS,MV MEIGNAN FORMATIONS,989962279,98996227900018,2025,https://annuaire-entreprises.data.gouv.fr/entreprise/989962279,AUCH,32,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/989962279,,CFA,inconnu,,Virginie Estrada (meignan),Directeur Général,,,,API recherche-entreprises.api.gouv.fr (SIREN 989962279),"Spécialité DGEFP: Coiffure, esthétique et autres spécialités des services aux  | 0 stagiaires déclarés",85,Organisme de formation confirmé | Création 2025 (critère principal) | Hors IDF (32) | Confirmé base DGEFP
A,CFA FORMACCESS,CFA FORMACCESS,914671409,91467140900011,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/914671409,SAINT-DENIS,974,La Réunion,https://annuaire-entreprises.data.gouv.fr/entreprise/914671409,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Nicolas Lefevre,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 914671409),Élargissement 2022 (critère initial: 2023+),80,CFA identifié | Création 2022 (élargissement) | Hors IDF (974)
A,CENTRE D'APPRENTISSAGE ET DE FORMATION POUR L'EPANOUISSEMENT ET LE SAVOIR (C.A.F.E.S. FORMATION),CENTRE D'APPRENTISSAGE ET DE FORMATION POUR L'EPANOUISSEMENT ET LE SAVOIR,918768474,91876847400010,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/918768474,SAINT-PIERRE,974,La Réunion,https://annuaire-entreprises.data.gouv.fr/entreprise/918768474,,CFA,presentiel,,Eric Pongerard,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 918768474),Élargissement 2022 (critère initial: 2023+) | Spécialité DGEFP: Spécialités concernant plusieurs capacités | 14 stagiaires déclarés,85,CFA identifié | Création 2022 (élargissement) | Hors IDF (974) | Confirmé base DGEFP
A,CENTRE D'INNOVATION POUR LA QUALIFICATION ET L'APPRENTISSAGE (CIQA) (CIQA),CENTRE D'INNOVATION POUR LA QUALIFICATION ET L'APPRENTISSAGE,949864771,94986477100017,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/949864771,EAUZE,32,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/949864771,,CFA,presentiel,,Alexandre Martin (martin),Directeur Général,,,,API recherche-entreprises.api.gouv.fr (SIREN 949864771),Élargissement 2022 (critère initial: 2023+),80,CFA identifié | Création 2022 (élargissement) | Hors IDF (32)
